         367           1       10599           7         141
        1808           2        5097           3          44
        2608           2        4035           3         203
        6131           4        7979           5          14
        9944           6       11633           7           3
         512           1       10716           7         252
        6655           4        8372           5         169
         381           1       10716           7           1
        4180           3        5738           4         120
         774           1       11109           7          39
        3656           3        5345           4         161
        1691           1        3249           2         169
        1167           1       11371           7          54
        5883           4        7441           5           1
        1953           2        3773           3          21
         774           1       10978           7           1
        6669           4        8227           5          23
        7586           5        9275           6          18
        2084           2        3773           3           4
        2608           2        4166           3           1
        6145           4        8096           5          41
        1822           2        5083           3           4
        2870           2        4559           3          28
         760           1       10992           7           2
        8882           6       10730           7           2
        5490           4        7310           5          65
        4442           3        6262           4         272
        2856           2        4573           3           4
        9420           6       10847           7           2
        9420           6       10978           7           1
         643           1       11109           7          65
        3394           2        4821           3           1
         760           1        2346           2          24
        1691           1        3380           2          41
        6131           4        8110           5           1
        9406           6       10861           7          40
        7572           5        9289           6           1
        2987           2        4704           3         115
         367           1        2215           2           4
        6131           4        7848           5           2
        9537           6       11254           7         254
        5869           4        7455           5           8
        9406           6       10992           7          15
        1677           1        3263           2           2
         905           1        2463           2           8
        7848           5        9668           6           1
         891           1       11123           7         163
        1429           1       11895           7           1
        4297           3        5752           4           8
        1153           1       11385           7          45
        1953           2        3642           3          16
         381           1       10585           7           9
         498           1       10730           7           2
        4966           3        6524           4           8
        4952           3        6538           4          34
        4428           3        6276           4          21
       10075           6       11633           7          76
        5228           4        7048           5           2
        1822           2        3773           3          80
        4311           3        6262           4           2
        7179           5        9027           6          11
        2594           2        4049           3           7
        1808           2        3787           3          53
        7193           5        9013           6           1
         498           1       10599           7           2
        2070           2        3918           3           5
        7572           5        9158           6          18
        1429           1       11502           7           3
        5214           4        7062           5           9
        3525           3        5345           4           1
         774           1        2332           2          25
        6000           4        7455           5          12
