     1     1     1        NAG         C1     CC3162
     2     1     1        NAG         H1       HCA1
     3     1     1        NAG         C5     CC3163
     4     1     1        NAG         H5       HCA1
     5     1     1        NAG         O5     OC3C61
     6     1     1        NAG         C2     CC3161
     7     1     1        NAG         H2       HCA1
     8     1     1        NAG         NC        NH1
     9     1     1        NAG         HN          H
    10     1     1        NAG         CM         CC
    11     1     1        NAG         OM          O
    12     1     1        NAG         CC        CT3
    13     1     1        NAG        HC1        HA3
    14     1     1        NAG        HC2        HA3
    15     1     1        NAG        HC3        HA3
    16     1     1        NAG         C3     CC3161
    17     1     1        NAG         H3       HCA1
    18     1     1        NAG         O3      OC311
    19     1     1        NAG        HO3       HCP1
    20     1     1        NAG         C4     CC3161
    21     1     1        NAG         H4       HCA1
    22     1     1        NAG         O4      OC301
    23     1     1        NAG         C6      CC321
    24     1     1        NAG        H61       HCA2
    25     1     1        NAG        H62       HCA2
    26     1     1        NAG         O6      OC311
    27     1     1        NAG        HO6       HCP1
    28     1     2        NAM         C1     CC3162
    29     1     2        NAM         H1       HCA1
    30     1     2        NAM         C5     CC3163
    31     1     2        NAM         H5       HCA1
    32     1     2        NAM         O5     OC3C61
    33     1     2        NAM         C2     CC3161
    34     1     2        NAM         H2       HCA1
    35     1     2        NAM         NC        NH1
    36     1     2        NAM         HN          H
    37     1     2        NAM         CM         CC
    38     1     2        NAM         OM          O
    39     1     2        NAM         CC        CT3
    40     1     2        NAM        HC1        HA3
    41     1     2        NAM        HC2        HA3
    42     1     2        NAM        HC3        HA3
    43     1     2        NAM         C3     CC3161
    44     1     2        NAM         H3       HCA1
    45     1     2        NAM         O3      OC311
    46     1     2        NAM         CA        CT1
    47     1     2        NAM         HA        HB1
    48     1     2        NAM          C          C
    49     1     2        NAM          O          O
    50     1     2        NAM         CB        CT3
    51     1     2        NAM        HB1        HA3
    52     1     2        NAM        HB2        HA3
    53     1     2        NAM        HB3        HA3
    54     1     2        NAM         C4     CC3161
    55     1     2        NAM         H4       HCA1
    56     1     2        NAM         O4      OC301
    57     1     2        NAM         C6      CC321
    58     1     2        NAM        H61       HCA2
    59     1     2        NAM        H62       HCA2
    60     1     2        NAM         O6      OC311
    61     1     2        NAM        HO6       HCP1
    62     1     3        ALA          N        NH1
    63     1     3        ALA         HN          H
    64     1     3        ALA         CA        CT1
    65     1     3        ALA         HA        HB1
    66     1     3        ALA         CB        CT3
    67     1     3        ALA        HB1        HA3
    68     1     3        ALA        HB2        HA3
    69     1     3        ALA        HB3        HA3
    70     1     3        ALA          C          C
    71     1     3        ALA          O          O
    72     1     4        GLN          N        NH1
    73     1     4        GLN         HN          H
    74     1     4        GLN         CA        CT1
    75     1     4        GLN         HA        HB1
    76     1     4        GLN         CD         CC
    77     1     4        GLN        OE1          O
    78     1     4        GLN        NE2        NH2
    79     1     4        GLN       HE21          H
    80     1     4        GLN       HE22          H
    81     1     4        GLN         CB        CT2
    82     1     4        GLN        HB1        HA2
    83     1     4        GLN        HB2        HA2
    84     1     4        GLN         CG        CT2
    85     1     4        GLN        HG1        HA2
    86     1     4        GLN        HG2        HA2
    87     1     4        GLN          C          C
    88     1     4        GLN          O          O
    89     1     5        LYS          N        NH1
    90     1     5        LYS         HN          H
    91     1     5        LYS         CA        CT1
    92     1     5        LYS         HA        HB1
    93     1     5        LYS         CB        CT2
    94     1     5        LYS        HB1        HA2
    95     1     5        LYS        HB2        HA2
    96     1     5        LYS         CG        CT2
    97     1     5        LYS        HG1        HA2
    98     1     5        LYS        HG2        HA2
    99     1     5        LYS         CD        CT2
   100     1     5        LYS        HD1        HA2
   101     1     5        LYS        HD2        HA2
   102     1     5        LYS         CE        CT2
   103     1     5        LYS        HE1        HA2
   104     1     5        LYS        HE2        HA2
   105     1     5        LYS         NZ        NH3
   106     1     5        LYS        HZ1         HC
   107     1     5        LYS        HZ2         HC
   108     1     5        LYS        HZ3         HC
   109     1     5        LYS          C          C
   110     1     5        LYS          O          O
   111     1     6        DAL          N        NH1
   112     1     6        DAL         HN          H
   113     1     6        DAL         CA       CTD1
   114     1     6        DAL         HA        HB1
   115     1     6        DAL         CB        CT3
   116     1     6        DAL        HB1        HA3
   117     1     6        DAL        HB2        HA3
   118     1     6        DAL        HB3        HA3
   119     1     6        DAL          C          C
   120     1     6        DAL          O          O
   121     1     7        DAL          N        NH1
   122     1     7        DAL         HN          H
   123     1     7        DAL         CA       CTD1
   124     1     7        DAL         HA        HB1
   125     1     7        DAL         CB        CT3
   126     1     7        DAL        HB1        HA3
   127     1     7        DAL        HB2        HA3
   128     1     7        DAL        HB3        HA3
   129     1     7        DAL          C         CC
