         367           1       10599           7         141           1
        2608           2        4035           3         203           1
         512           1       10716           7         252           1
        6655           4        8372           5         169           1
        4180           3        5738           4         120           1
        3656           3        5345           4         161           1
        1691           1        3249           2         169           1
        1167           1       11371           7          54           1
        5490           4        7310           5          65           1
        4442           3        6262           4         272           1
         643           1       11109           7          65           1
        2987           2        4704           3         115           1
        9537           6       11254           7         254           1
       10075           6       11633           7          76           1
        1822           2        3773           3          80           1
