         273       11118
         688        2390
        1616        3231
        2795        1080
        3090        4930
        3922        2019
        4086        2139
        5586        3779
        6012        4393
        6176        7991
        6471        8397
        6635        4679
        6799        8637
        6963        5181
        7127        8888
        7719        9401
        9806        8111
        9970       11664
       10134       11948
       10429        8517
       11392         545
       11807         829
       12353       10701
