         688        2390
        2795        1080
        1616        3231
        3922        2019
        4086        2139
        3090        4930
        5586        3779
        6012        4393
        6635        4679
        6963        5181
        6176        7991
        6471        8397
        6799        8637
        7127        8888
        7719        9401
        9806        8111
       10429        8517
         273       11118
       11392         545
        9970       11664
       11807         829
       10134       11948
       12353       10701
