         367           1       10599           7         309           1
        1808           2        5097           3          65           1
        2608           2        4035           3         513           1
         512           1       10716           7         345           1
        6655           4        8372           5         287           1
        4180           3        5738           4         693           1
         774           1       11109           7        1893           1
        3656           3        5345           4         345           1
        1691           1        3249           2         414           1
        1167           1       11371           7         155           1
        1953           2        3773           3         294           1
        7586           5        9275           6         202           1
        2870           2        4559           3          58           1
        5490           4        7310           5          65           1
        4442           3        6262           4         665           1
        2987           2        4704           3         166           1
        6131           4        7848           5         696           1
        9537           6       11254           7        1104           1
        5869           4        7455           5         283           1
        9406           6       10992           7         169           1
        4966           3        6524           4         419           1
       10075           6       11633           7         189           1
        5228           4        7048           5          88           1
        1429           1       11502           7         104           1
         236           1       10468           7         315           1
       10192           6       11778           7         245           1
        1546           1        3132           2         224           1
        2084           2        3904           3          69           1
        6393           4        8110           5         326           1
        7703           5        9682           6         273           1
        7979           5        9799           6         147           1
        3380           2        4835           3         221           1
