           1        6917        6931
              2        7048        7062
           3        7179        7193
           4        7310        7324
              5        7441        7455
                  6        7572        7586
                  7        7703        7717
              8        7834        7848
                  9        7965        7979
             10        8096        8110
          11        8227        8241
             12        8358        8372
          13        8489        8503
