CC3162      HCA1  
CC3162      OC3C61
CC3162      CC3161
CC3162      OC301 
CC3163      HCA1  
CC3163      OC3C61
CC3163      CC3161
CC3163      CC321 
CC3161      HCA1  
CC3161      NH1   
CC3161      CC3161
NH1         H     
NH1         CC    
CC          O     
CC          CT3   
CT3         HA3   
CC3161      OC311 
OC311       HCP1  
CC321       HCA2  
CC321       OC311 
OC311       CT1   
CT1         HB1   
CT1         C     
CT1         CT3   
C           O     
C           NH1   
CC3161      OC301 
NH1         CT1   
CT1         CC    
CT1         CT2   
CC          NH2   
NH2         H     
CT2         HA2   
CT2         CT2   
CT2         C     
CT2         NH3   
NH3         HC    
NH1         CTD1  
CTD1        HB1   
CTD1        CT3   
CTD1        C     
CTD1        CC    
CC          OC    
CC3162      OC311 
