NH1       CC        H         CC3161
CC        CT3       NH1       O     
CC        NH2       CT1       O     
CC        CT1       NH2       O     
NH2       CC        H         H     
CC        CTD1      OC        OC    
C         CT1       NH1       O     
NH1       C         CT1       H     
C         CT2       NH1       O     
NH1       C         CTD1      H     
C         CTD1      NH1       O     
