CC3162      HCA1  
CC3162      H     
CC3162      CC    
CC3162      OC311 
CC3162      CC3161
CC3162      CC321 
CC3162      CC3163
HCA1        CC3163
HCA1        HCA1  
HCA1        NH1   
HCA1        CC3161
CC3163      CC3161
CC3163      OC311 
CC3163      HCP1  
CC3163      OC301 
HCA1        OC301 
HCA1        HCA2  
HCA1        OC311 
OC3C61      HCA1  
OC3C61      NH1   
OC3C61      CC3161
OC3C61      OC301 
OC3C61      HCA2  
OC3C61      OC311 
CC3161      O     
CC3161      CT3   
CC3161      HCP1  
CC3161      OC301 
CC3161      CC3161
HCA1        H     
HCA1        CC    
NH1         HA3   
NH1         OC311 
NH1         CC3161
NH1         OC301 
H           O     
H           CT3   
H           CC3161
CC          CC3161
O           HA3   
CC3161      CC321 
HCA1        HCP1  
OC311       OC301 
CC3161      HCA2  
CC3161      OC311 
HCA1        CC321 
OC301       CC321 
HCA2        HCP1  
CC3161      CT1   
CC3161      HB1   
CC3161      C     
HCA1        CT1   
OC311       O     
OC311       HA3   
CT1         H     
CT1         CT1   
HB1         O     
HB1         HA3   
HB1         NH1   
C           HA3   
C           HB1   
C           CT3   
C           C     
O           CT3   
O           CT1   
CT3         NH1   
NH1         O     
NH1         NH1   
H           HB1   
H           C     
C           CC    
C           CT2   
NH1         NH2   
NH1         HA2   
NH1         CT2   
H           CC    
H           CT2   
CT1         HA2   
CT1         C     
HB1         NH2   
HB1         HA2   
HB1         CT2   
CC          HA2   
CC          CT2   
O           CT2   
NH2         CT2   
HA2         HA2   
HA2         C     
CT2         CT1   
HA2         O     
CT1         CTD1  
CT2         HA2   
CT2         CT2   
CT2         NH3   
CT2         HC    
HA2         NH3   
HA2         HC    
O           CTD1  
CTD1        H     
CTD1        CTD1  
NH1         OC    
HB1         OC    
CT3         OC    
HA3         CC    
HA2         H     
NH1         HB2   
O           HB2   
HB2         H     
HB2         C     
CT2         CTD1  
NH1         NH3   
C           HC    
O           NH3   
HB2         HC    
