          49          63          65          71          73
          88          90          92         110         112
         110         112         114         120         122
         180         194         196         202         204
         219         221         223         241         243
         241         243         245         251         253
         311         325         327         333         335
         350         352         354         372         374
         372         374         376         382         384
         442         456         458         464         466
         481         483         485         503         505
         503         505         507         513         515
         573         587         589         595         597
         612         614         616         634         636
         634         636         638         644         646
         704         718         720         726         728
         743         745         747         765         767
         765         767         769         775         777
         835         849         851         857         859
         874         876         878         896         898
         896         898         900         906         908
         968         982         984         990         992
        1007        1009        1011        1029        1031
        1029        1031        1033        1039        1041
