   138         C2     CC3161     0.1340    12.0110
   139         H2       HCA1     0.0900     1.0080
   140         NC        NH1    -0.5870    14.0070
   141         HN          H     0.3630     1.0080
   142         CM         CC     0.5500    12.0110
   143         OM          O    -0.5500    15.9994
   144         CC        CT3    -0.2700    12.0110
   145        HC1        HA3     0.0900     1.0080
   146        HC2        HA3     0.0900     1.0080
   147        HC3        HA3     0.0900     1.0080
   148         C3     CC3161     0.1400    12.0110
   149         H3       HCA1     0.0900     1.0080
   150         O3      OC311    -0.6500    15.9994
   151        HO3       HCP1     0.4200     1.0080
   152         C4     CC3161     0.0900    12.0110
   153         H4       HCA1     0.0900     1.0080
   154         O4      OC301    -0.3600    15.9994
   155         C6      CC321     0.0500    12.0110
   156        H61       HCA2     0.0900     1.0080
   157        H62       HCA2     0.0900     1.0080
   158         O6      OC311    -0.6500    15.9994
   159        HO6       HCP1     0.4200     1.0080
   160         C1     CC3162     0.2900    12.0110
   161         H1       HCA1     0.0900     1.0080
   162         C5     CC3163     0.1100    12.0110
   163         H5       HCA1     0.0900     1.0080
   164         O5     OC3C61    -0.4000    15.9994
   165         C2     CC3161     0.1340    12.0110
   166         H2       HCA1     0.0900     1.0080
   167         NC        NH1    -0.5870    14.0070
   168         HN          H     0.3630     1.0080
   169         CM         CC     0.5500    12.0110
   170         OM          O    -0.5500    15.9994
   171         CC        CT3    -0.2700    12.0110
   172        HC1        HA3     0.0900     1.0080
   173        HC2        HA3     0.0900     1.0080
   174        HC3        HA3     0.0900     1.0080
   175         C3     CC3161    -0.0240    12.0110
   176         H3       HCA1     0.0900     1.0080
   177         O3      OC311    -0.4060    15.9994
   178         CA        CT1     0.2500    12.0110
   179         HA        HB1     0.0900     1.0080
   180          C          C     0.5100    12.0110
   181          O          O    -0.5100    15.9994
   182         CB        CT3    -0.2700    12.0110
   183        HB1        HA3     0.0900     1.0080
   184        HB2        HA3     0.0900     1.0080
   185        HB3        HA3     0.0900     1.0080
   186         C4     CC3161     0.0900    12.0110
   187         H4       HCA1     0.0900     1.0080
   188         O4      OC301    -0.3600    15.9994
   189         C6      CC321     0.0500    12.0110
   190        H61       HCA2     0.0900     1.0080
   191        H62       HCA2     0.0900     1.0080
   192         O6      OC311    -0.6500    15.9994
   193        HO6       HCP1     0.4200     1.0080
   194          N        NH1    -0.4700    14.0070
   195         HN          H     0.3100     1.0080
   196         CA        CT1     0.0700    12.0110
   197         HA        HB1     0.0900     1.0080
   198         CB        CT3    -0.2700    12.0110
   199        HB1        HA3     0.0900     1.0080
   200        HB2        HA3     0.0900     1.0080
   201        HB3        HA3     0.0900     1.0080
   202          C          C     0.5100    12.0110
   203          O          O    -0.5100    15.9994
   204          N        NH1    -0.4700    14.0070
   205         HN          H     0.3100     1.0080
   206         CA        CT1     0.0700    12.0110
   207         HA        HB1     0.0900     1.0080
   208         CD         CC     0.5500    12.0110
   209        OE1          O    -0.5500    15.9994
   210        NE2        NH2    -0.6200    14.0070
   211       HE21          H     0.3200     1.0080
   212       HE22          H     0.3000     1.0080
   213         CB        CT2    -0.1800    12.0110
   214        HB1        HA2     0.0900     1.0080
   215        HB2        HA2     0.0900     1.0080
   216         CG        CT2    -0.1800    12.0110
   217        HG1        HA2     0.0900     1.0080
   218        HG2        HA2     0.0900     1.0080
   219          C          C     0.5100    12.0110
   220          O          O    -0.5100    15.9994
   221          N        NH1    -0.4700    14.0070
   222         HN          H     0.3100     1.0080
   223         CA        CT1     0.0700    12.0110
   224         HA        HB1     0.0900     1.0080
   225         CB        CT2    -0.1800    12.0110
   226        HB1        HA2     0.0900     1.0080
   227        HB2        HA2     0.0900     1.0080
   228         CG        CT2    -0.1800    12.0110
   229        HG1        HA2     0.0900     1.0080
   230        HG2        HA2     0.0900     1.0080
   231         CD        CT2    -0.1800    12.0110
   232        HD1        HA2     0.0900     1.0080
   233        HD2        HA2     0.0900     1.0080
   234         CE        CT2     0.2100    12.0110
   235        HE1        HA2     0.0500     1.0080
   236        HE2        HA2     0.0500     1.0080
   237         NZ        NH3    -0.3000    14.0070
   238        HZ1         HC     0.3300     1.0080
   239        HZ2         HC     0.3300     1.0080
   240        HZ3         HC     0.3300     1.0080
   241          C          C     0.5100    12.0110
   242          O          O    -0.5100    15.9994
   243          N        NH1    -0.4700    14.0070
   244         HN          H     0.3100     1.0080
   245         CA       CTD1     0.0700    12.0110
   246         HA        HB1     0.0900     1.0080
   247         CB        CT3    -0.2700    12.0110
   248        HB1        HA3     0.0900     1.0080
   249        HB2        HA3     0.0900     1.0080
   250        HB3        HA3     0.0900     1.0080
   251          C          C     0.5100    12.0110
   252          O          O    -0.5100    15.9994
   253          N        NH1    -0.4700    14.0070
   254         HN          H     0.3100     1.0080
   255         CA       CTD1     0.0700    12.0110
   256         HA        HB1     0.0900     1.0080
   257         CB        CT3    -0.2700    12.0110
   258        HB1        HA3     0.0900     1.0080
   259        HB2        HA3     0.0900     1.0080
   260        HB3        HA3     0.0900     1.0080
   261          C         CC     0.3400    12.0110
   262        OC1         OC    -0.6700    15.9994
   263        OC2         OC    -0.6700    15.9994
   264         C1     CC3162     0.2900    12.0110
   265         H1       HCA1     0.0900     1.0080
   266         C5     CC3163     0.1100    12.0110
   267         H5       HCA1     0.0900     1.0080
   268         O5     OC3C61    -0.4000    15.9994
   269         C2     CC3161     0.1340    12.0110
   270         H2       HCA1     0.0900     1.0080
   271         NC        NH1    -0.5870    14.0070
   272         HN          H     0.3630     1.0080
   273         CM         CC     0.5500    12.0110
   274         OM          O    -0.5500    15.9994
   275         CC        CT3    -0.2700    12.0110
   276        HC1        HA3     0.0900     1.0080
   277        HC2        HA3     0.0900     1.0080
   278        HC3        HA3     0.0900     1.0080
   279         C3     CC3161     0.1400    12.0110
   280         H3       HCA1     0.0900     1.0080
   281         O3      OC311    -0.6500    15.9994
   282        HO3       HCP1     0.4200     1.0080
   283         C4     CC3161     0.0900    12.0110
   284         H4       HCA1     0.0900     1.0080
   285         O4      OC301    -0.3600    15.9994
   286         C6      CC321     0.0500    12.0110
   287        H61       HCA2     0.0900     1.0080
   288        H62       HCA2     0.0900     1.0080
   289         O6      OC311    -0.6500    15.9994
   290        HO6       HCP1     0.4200     1.0080
   291         C1     CC3162     0.2900    12.0110
   292         H1       HCA1     0.0900     1.0080
   293         C5     CC3163     0.1100    12.0110
   294         H5       HCA1     0.0900     1.0080
   295         O5     OC3C61    -0.4000    15.9994
   296         C2     CC3161     0.1340    12.0110
   297         H2       HCA1     0.0900     1.0080
   298         NC        NH1    -0.5870    14.0070
   299         HN          H     0.3630     1.0080
   300         CM         CC     0.5500    12.0110
   301         OM          O    -0.5500    15.9994
   302         CC        CT3    -0.2700    12.0110
   303        HC1        HA3     0.0900     1.0080
   304        HC2        HA3     0.0900     1.0080
   305        HC3        HA3     0.0900     1.0080
   306         C3     CC3161    -0.0240    12.0110
   307         H3       HCA1     0.0900     1.0080
   308         O3      OC311    -0.4060    15.9994
   309         CA        CT1     0.2500    12.0110
   310         HA        HB1     0.0900     1.0080
   311          C          C     0.5100    12.0110
   312          O          O    -0.5100    15.9994
   313         CB        CT3    -0.2700    12.0110
   314        HB1        HA3     0.0900     1.0080
   315        HB2        HA3     0.0900     1.0080
   316        HB3        HA3     0.0900     1.0080
   317         C4     CC3161     0.0900    12.0110
   318         H4       HCA1     0.0900     1.0080
   319         O4      OC301    -0.3600    15.9994
   320         C6      CC321     0.0500    12.0110
   321        H61       HCA2     0.0900     1.0080
   322        H62       HCA2     0.0900     1.0080
   323         O6      OC311    -0.6500    15.9994
   324        HO6       HCP1     0.4200     1.0080
   325          N        NH1    -0.4700    14.0070
   326         HN          H     0.3100     1.0080
   327         CA        CT1     0.0700    12.0110
   328         HA        HB1     0.0900     1.0080
   329         CB        CT3    -0.2700    12.0110
   330        HB1        HA3     0.0900     1.0080
   331        HB2        HA3     0.0900     1.0080
   332        HB3        HA3     0.0900     1.0080
   333          C          C     0.5100    12.0110
   334          O          O    -0.5100    15.9994
   335          N        NH1    -0.4700    14.0070
   336         HN          H     0.3100     1.0080
   337         CA        CT1     0.0700    12.0110
   338         HA        HB1     0.0900     1.0080
   339         CD         CC     0.5500    12.0110
   340        OE1          O    -0.5500    15.9994
   341        NE2        NH2    -0.6200    14.0070
   342       HE21          H     0.3200     1.0080
   343       HE22          H     0.3000     1.0080
   344         CB        CT2    -0.1800    12.0110
   345        HB1        HA2     0.0900     1.0080
   346        HB2        HA2     0.0900     1.0080
   347         CG        CT2    -0.1800    12.0110
   348        HG1        HA2     0.0900     1.0080
   349        HG2        HA2     0.0900     1.0080
   350          C          C     0.5100    12.0110
   351          O          O    -0.5100    15.9994
   352          N        NH1    -0.4700    14.0070
   353         HN          H     0.3100     1.0080
