           8          10           9           6
          10          12           8          11
          36          38          37          34
          38          40          36          39
          77          79          75          78
          77          75          79          78
          79          77          80          81
          79          77          81          80
         130         124         132         131
         140         142         141         138
         142         144         140         143
         167         169         168         165
         169         171         167         170
         208         210         206         209
         208         206         210         209
         210         208         211         212
         210         208         212         211
         261         255         263         262
         271         273         272         269
         273         275         271         274
         298         300         299         296
         300         302         298         301
         339         341         337         340
         339         337         341         340
         341         339         342         343
         341         339         343         342
         392         386         394         393
         402         404         403         400
         404         406         402         405
         429         431         430         427
         431         433         429         432
         470         472         468         471
         470         468         472         471
         472         470         473         474
         472         470         474         473
         523         517         525         524
         533         535         534         531
         535         537         533         536
         560         562         561         558
         562         564         560         563
         601         603         599         602
         601         599         603         602
         603         601         604         605
         603         601         605         604
         654         648         656         655
         664         666         665         662
         666         668         664         667
         691         693         692         689
         693         695         691         694
         732         734         730         733
         732         730         734         733
         734         732         735         736
         734         732         736         735
         785         779         787         786
         795         797         796         793
         797         799         795         798
         822         824         823         820
         824         826         822         825
         863         865         861         864
         863         861         865         864
         865         863         866         867
         865         863         867         866
         916         910         918         917
         926         928         927         924
         928         930         926         929
         955         957         956         953
         957         959         955         958
         996         998         994         997
         996         994         998         997
         998         996         999        1000
         998         996        1000         999
        1049        1043        1051        1050
          49          47          63          50
          63          49          65          64
          71          65          73          72
          73          71          75          74
          88          85          90          89
          90          88          92          91
         110          92         112         111
         112         110         114         113
         120         114         122         121
         122         120         124         123
         180         178         194         181
         194         180         196         195
         202         196         204         203
         204         202         206         205
         219         216         221         220
         221         219         223         222
         241         223         243         242
         243         241         245         244
         251         245         253         252
         253         251         255         254
         311         309         325         312
         325         311         327         326
         333         327         335         334
         335         333         337         336
         350         347         352         351
         352         350         354         353
         372         354         374         373
         374         372         376         375
         382         376         384         383
         384         382         386         385
         442         440         456         443
         456         442         458         457
         464         458         466         465
         466         464         468         467
         481         478         483         482
         483         481         485         484
         503         485         505         504
         505         503         507         506
         513         507         515         514
         515         513         517         516
         573         571         587         574
         587         573         589         588
         595         589         597         596
         597         595         599         598
         612         609         614         613
         614         612         616         615
         634         616         636         635
         636         634         638         637
         644         638         646         645
         646         644         648         647
         704         702         718         705
         718         704         720         719
         726         720         728         727
         728         726         730         729
         743         740         745         744
         745         743         747         746
         765         747         767         766
         767         765         769         768
         775         769         777         776
         777         775         779         778
         835         833         849         836
         849         835         851         850
         857         851         859         858
         859         857         861         860
         874         871         876         875
         876         874         878         877
         896         878         898         897
         898         896         900         899
         906         900         908         907
         908         906         910         909
         968         966         982         969
         982         968         984         983
         990         984         992         991
         992         990         994         993
        1007        1004        1009        1008
        1009        1007        1011        1010
        1029        1011        1031        1030
        1031        1029        1033        1032
        1039        1033        1041        1040
        1041        1039        1043        1042
