CC3162    OC3C61    CC3163    HCA1  
CC3162    OC3C61    CC3163    CC3161
CC3162    OC3C61    CC3163    CC321 
CC3162    CC3161    NH1       H     
CC3162    CC3161    NH1       CC    
CC3162    CC3161    CC3161    HCA1  
CC3162    CC3161    CC3161    OC311 
CC3162    CC3161    CC3161    CC3161
CC3162    OC301     CC3161    CC3163
CC3162    OC301     CC3161    CC3161
CC3162    OC301     CC3161    HCA1  
HCA1      CC3162    OC3C61    CC3163
HCA1      CC3162    CC3161    HCA1  
HCA1      CC3162    CC3161    NH1   
HCA1      CC3162    CC3161    CC3161
HCA1      CC3162    OC301     CC3161
CC3163    OC3C61    CC3162    CC3161
CC3163    OC3C61    CC3162    OC301 
CC3163    CC3161    CC3161    CC3161
CC3163    CC3161    CC3161    HCA1  
CC3163    CC3161    CC3161    OC311 
CC3163    CC3161    OC311     HCP1  
CC3163    CC321     OC311     HCP1  
HCA1      CC3163    CC3161    CC3161
HCA1      CC3163    CC3161    HCA1  
HCA1      CC3163    CC3161    OC311 
HCA1      CC3163    CC321     HCA2  
HCA1      CC3163    CC321     OC311 
OC3C61    CC3162    CC3161    HCA1  
OC3C61    CC3162    CC3161    NH1   
OC3C61    CC3162    CC3161    CC3161
OC3C61    CC3162    OC301     CC3161
OC3C61    CC3163    CC3161    CC3161
OC3C61    CC3163    CC3161    HCA1  
OC3C61    CC3163    CC3161    OC311 
OC3C61    CC3163    CC321     HCA2  
OC3C61    CC3163    CC321     OC311 
CC3161    CC3162    OC301     CC3161
CC3161    NH1       CC        O     
CC3161    NH1       CC        CT3   
CC3161    CC3161    OC311     HCP1  
CC3161    CC3161    CC3161    HCA1  
CC3161    CC3161    CC3161    OC311 
HCA1      CC3161    CC3162    OC301 
HCA1      CC3161    NH1       H     
HCA1      CC3161    NH1       CC    
HCA1      CC3161    CC3161    HCA1  
HCA1      CC3161    CC3161    OC311 
NH1       CC3161    CC3162    OC301 
NH1       CC3161    CC3161    HCA1  
NH1       CC3161    CC3161    OC311 
NH1       CC3161    CC3161    CC3161
NH1       CC        CT3       HA3   
H         NH1       CC3161    CC3161
H         NH1       CC        O     
H         NH1       CC        CT3   
CC        NH1       CC3161    CC3161
O         CC        CT3       HA3   
CC3161    CC3161    CC3162    OC301 
CC3161    CC3161    CC3163    CC321 
HCA1      CC3161    OC311     HCP1  
OC311     CC3161    CC3161    OC311 
CC3161    CC3163    CC321     HCA2  
CC3161    CC3163    CC321     OC311 
HCA1      CC3161    CC3163    CC321 
OC311     CC3161    CC3163    CC321 
HCA2      CC321     OC311     HCP1  
HCA1      CC3163    CC3161    OC301 
OC3C61    CC3163    CC3161    OC301 
CC3161    CC3161    OC311     CT1   
CC3161    CC3161    CC3161    OC301 
CC3161    OC311     CT1       HB1   
CC3161    OC311     CT1       C     
CC3161    OC311     CT1       CT3   
HCA1      CC3161    OC311     CT1   
HCA1      CC3161    CC3161    OC301 
OC311     CC3161    CC3161    OC301 
OC311     CT1       C         O     
OC311     CT1       C         NH1   
OC311     CT1       CT3       HA3   
CT1       C         NH1       H     
CT1       C         NH1       CT1   
HB1       CT1       C         O     
HB1       CT1       C         NH1   
HB1       CT1       CT3       HA3   
C         CT1       CT3       HA3   
C         NH1       CT1       HB1   
C         NH1       CT1       CT3   
C         NH1       CT1       C     
O         C         CT1       CT3   
O         C         NH1       H     
O         C         NH1       CT1   
CT3       CT1       C         NH1   
OC301     CC3161    CC3163    CC321 
NH1       CT1       CT3       HA3   
NH1       CT1       C         O     
NH1       CT1       C         NH1   
H         NH1       CT1       HB1   
H         NH1       CT1       CT3   
H         NH1       CT1       C     
C         NH1       CT1       CC    
C         NH1       CT1       CT2   
NH1       CT1       CC        O     
NH1       CT1       CC        NH2   
NH1       CT1       CT2       HA2   
NH1       CT1       CT2       CT2   
H         NH1       CT1       CC    
H         NH1       CT1       CT2   
CT1       CC        NH2       H     
CT1       CT2       CT2       HA2   
CT1       CT2       CT2       C     
HB1       CT1       CC        O     
HB1       CT1       CC        NH2   
HB1       CT1       CT2       HA2   
HB1       CT1       CT2       CT2   
CC        CT1       CT2       HA2   
CC        CT1       CT2       CT2   
O         CC        CT1       CT2   
O         CC        NH2       H     
NH2       CC        CT1       CT2   
CT2       CT2       C         O     
CT2       CT2       C         NH1   
HA2       CT2       CT2       HA2   
HA2       CT2       CT2       C     
CT2       C         NH1       H     
CT2       C         NH1       CT1   
HA2       CT2       C         O     
HA2       CT2       C         NH1   
CT1       CT2       CT2       CT2   
CT1       C         NH1       CTD1  
CT2       CT1       C         O     
CT2       CT1       C         NH1   
CT2       CT2       CT2       HA2   
CT2       CT2       CT2       CT2   
HA2       CT2       CT1       C     
CT2       CT2       CT1       C     
CT2       CT2       CT2       NH3   
CT2       CT2       NH3       HC    
HA2       CT2       CT2       NH3   
HA2       CT2       NH3       HC    
C         NH1       CTD1      HB1   
C         NH1       CTD1      CT3   
C         NH1       CTD1      C     
O         C         NH1       CTD1  
NH1       CTD1      CT3       HA3   
NH1       CTD1      C         O     
NH1       CTD1      C         NH1   
H         NH1       CTD1      HB1   
H         NH1       CTD1      CT3   
H         NH1       CTD1      C     
CTD1      C         NH1       H     
CTD1      C         NH1       CTD1  
HB1       CTD1      CT3       HA3   
HB1       CTD1      C         O     
HB1       CTD1      C         NH1   
CT3       CTD1      C         O     
CT3       CTD1      C         NH1   
HA3       CT3       CTD1      C     
C         NH1       CTD1      CC    
NH1       CTD1      CC        OC    
H         NH1       CTD1      CC    
HB1       CTD1      CC        OC    
CT3       CTD1      CC        OC    
HA3       CT3       CTD1      CC    
HCA1      CC3162    OC311     HCP1  
OC311     CC3162    OC3C61    CC3163
OC311     CC3162    CC3161    HCA1  
OC311     CC3162    CC3161    NH1   
OC311     CC3162    CC3161    CC3161
HCP1      OC311     CC3162    OC3C61
HCP1      OC311     CC3162    CC3161
